model,type_experiment,n_trainable_params,cl_technique,hyperparams,experiment_name,time,dataset_currently_testing,dataset_currently_training,dataset_wrt_training_datasets,target_epochs,best_epochs,learning_rate,batch_size,current_num_samples_training,cumulative_samples_trained,best_epoch,f1_score,precision_score,recall_score,accuracy,HATE_f1_score,HATE_precision_score,HATE_recall_score,NoHATE_f1_score,NoHATE_precision_score,NoHATE_recall_score
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,4,ibereval,hateval-women,TRAINING_PASSED,8,8,1e-05,32,4500,61158,8.0,0.807992259313014,0.8565615068599333,0.7935334891400585,0.8305785123966942,0.7421383647798742,0.9123711340206185,0.6254416961130742,0.8738461538461538,0.8007518796992481,0.9616252821670429
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,4,hateval-immigrant,hateval-women,TRAINING_PASSED,8,8,1e-05,32,4500,61158,8.0,0.49607945563205913,0.49612964313872865,0.49616066370630263,0.5110073382254836,0.40934730056406127,0.4150326797385621,0.40381558028616854,0.5828116107000569,0.5772266065388951,0.5885057471264368
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,4,hateval-women,hateval-women,IN_TRAINING,8,8,1e-05,32,4500,61158,8.0,0.5898381951650717,0.7125937654731234,0.6517988304624268,0.6059782608695652,0.671201814058957,0.5188431200701139,0.9502407704654896,0.5084745762711864,0.9063444108761329,0.35335689045936397
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,4,waseem-racism,hateval-women,ZERO_SHOT,8,8,1e-05,32,4500,61158,8.0,0.46243571243571246,0.5264150943396226,0.5003953801523682,0.8516007532956685,0.005050505050505051,0.2,0.0025575447570332483,0.9198209198209198,0.8528301886792453,0.9982332155477032
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,4,evalita,hateval-women,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,61158,8.0,0.6756331671865923,0.6968840492142989,0.6770933977455716,0.689,0.6097867001254705,0.7210682492581603,0.5282608695652173,0.741479634247714,0.6726998491704375,0.825925925925926
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,4,waseem-sexism,hateval-women,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,61158,8.0,0.48504924537660316,0.7907413367664413,0.5223389698245305,0.7867217062263502,0.09090909090909091,0.7948717948717948,0.04821150855365474,0.8791893998441154,0.7866108786610879,0.9964664310954063
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,davidson,waseem-racism,TRAINING_PASSED,8,8,1e-05,32,10192,71350,8.0,0.7721669793130836,0.9110683479094286,0.7307145979020979,0.8604651162790697,0.6303317535545023,0.9779411764705882,0.46503496503496505,0.9140022050716649,0.8441955193482689,0.9963942307692307
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,founta_hateful_57k,waseem-racism,TRAINING_PASSED,8,8,1e-05,32,10192,71350,8.0,0.6321293722287205,0.8929350465398624,0.5885378624362941,0.9387150204864441,0.2962962962962963,0.8457142857142858,0.1796116504854369,0.9679624481611447,0.9401558073654391,0.9974640743871513
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,ibereval,waseem-racism,TRAINING_PASSED,8,8,1e-05,32,10192,71350,8.0,0.8097566004828469,0.8575401999130813,0.7953002735923553,0.8319559228650137,0.7447698744769874,0.9128205128205128,0.6289752650176679,0.8747433264887063,0.8022598870056498,0.9616252821670429
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,hateval-immigrant,waseem-racism,TRAINING_PASSED,8,8,1e-05,32,10192,71350,8.0,0.5180843421099895,0.5201646090534979,0.5206841730168301,0.5223482321547699,0.4727540500736377,0.4403292181069959,0.5103338632750397,0.5634146341463414,0.6,0.5310344827586206
